EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1024,584,7,2,4,KG001024,Kavya,1988-06-13,F,7,0,2014-09-05
1025,584,7,7,1,KG001025,Rekha,1998-03-20,F,5,0,2014-07-18
1026,584,8,4,2,KG001026,Prasad,1993-10-21,M,8,0,2015-08-15
1027,584,8,6,3,KG001027,Geetha,1980-11-03,F,4,0,2014-09-22
1028,584,8,1,2,KG001028,Sushma,1984-04-26,F,2,0,2011-03-01
1029,584,9,2,2,KG001029,Imran,1995-10-07,M,1,0,2017-08-13
1030,584,9,2,1,KG001030,Shivakumar,1988-04-06,M,3,0,2019-01-18
1031,584,9,7,4,KG001031,Harish,1996-09-18,M,8,0,2015-08-20
1032,584,9,6,3,KG001032,Prasad,1998-08-15,M,8,0,2013-04-27
1033,584,10,3,3,KG001033,Harish,1983-08-03,M,2,0,2014-04-09
1034,584,10,1,4,KG001034,Basavaraj,1979-04-13,M,6,0,2009-12-07
1035,584,10,7,1,KG001035,Deepa,1989-07-02,F,7,0,2011-07-13
1036,584,10,6,2,KG001036,Nagaraj,1975-06-10,M,4,0,2017-07-18
1037,584,10,6,4,KG001037,Naveen,1988-08-01,M,8,0,2017-06-22
1038,573,11,4,2,KG001038,Deepa,1992-01-13,F,8,0,2005-02-21
1039,573,11,3,3,KG001039,Anil,1976-05-13,M,5,0,2015-04-15
1040,573,11,1,3,KG001040,Vinay,1983-02-16,M,2,0,2005-12-18
1041,573,12,2,2,KG001041,Nagaraj,1975-04-07,M,2,0,2005-10-05
1042,573,12,5,1,KG001042,Shwetha,1981-08-23,F,3,0,2013-06-06
1043,573,12,4,4,KG001043,Arun,1978-10-01,M,2,0,2014-10-22
1044,573,12,3,1,KG001044,Shwetha,1997-11-08,F,1,0,2008-12-25
1045,573,12,6,3,KG001045,Ravi,1992-07-22,M,7,0,2016-02-17
1046,573,13,4,2,KG001046,Prasad,1988-06-21,M,5,0,2019-12-05
1047,573,13,3,3,KG001047,Deepa,1992-08-15,F,4,0,2018-12-19
1048,573,13,6,4,KG001048,Mahesh,1983-08-08,M,1,0,2019-10-20
1049,573,13,3,3,KG001049,Girish,1985-03-16,M,5,0,2011-06-26
1050,573,14,4,2,KG001050,Nagaraj,1991-04-03,M,8,0,2012-12-14
1051,573,14,2,3,KG001051,Firoz,1975-02-10,M,6,0,2012-07-23
1052,573,14,3,3,KG001052,Shivakumar,1992-09-12,M,5,0,2018-12-18
1053,573,14,6,2,KG001053,Arun,1983-04-04,M,4,0,2011-06-04
1054,573,14,2,3,KG001054,Anitha,1990-05-24,F,6,0,2014-02-27
1055,577,15,1,3,KG001055,Kiran,1975-12-18,M,8,0,2009-05-02
1056,577,15,3,2,KG001056,Suresh,1975-10-10,M,5,0,2020-08-15
1057,577,15,6,1,KG001057,Kiran,1978-02-13,M,3,0,2020-02-19
1058,577,16,7,2,KG001058,Prasad,1977-04-04,M,7,0,2018-10-20
1059,577,16,5,1,KG001059,Umesh,1989-05-28,M,2,0,2018-05-19
1060,577,16,2,1,KG001060,Naveen,1995-04-09,M,1,0,2007-03-08
1061,577,16,2,3,KG001061,Santosh,1989-12-20,M,8,0,2020-05-02
1062,577,16,5,2,KG001062,Imran,1996-04-09,M,3,0,2011-07-04
1063,577,17,7,3,KG001063,Shivakumar,1977-01-06,M,2,0,2014-10-24
1064,577,17,5,4,KG001064,Shivakumar,1997-05-23,M,2,0,2017-05-17
1065,577,17,1,1,KG001065,Anitha,1976-07-24,F,1,0,2015-10-09
1066,577,17,6,4,KG001066,Rekha,1983-10-02,F,3,0,2010-08-17
1067,577,18,3,3,KG001067,Firoz,1995-08-03,M,2,0,2020-06-14
1068,577,18,4,1,KG001068,Shivakumar,1985-07-23,M,2,0,2020-05-22
1069,577,18,1,4,KG001069,Basavaraj,1983-06-04,M,1,0,2017-09-27
1070,577,18,7,1,KG001070,Arun,1991-06-20,M,5,0,2020-11-15
1071,577,18,6,2,KG001071,Bhavya,1979-05-15,F,3,0,2020-02-01
1072,578,19,1,4,KG001072,Geetha,1975-09-14,F,3,0,2007-04-27
1073,578,19,4,4,KG001073,Vinay,1997-05-17,M,8,0,2013-07-27
1074,578,19,7,4,KG001074,Divya,1979-07-07,F,5,0,2009-02-09
1075,578,19,5,4,KG001075,Ramesh,1984-12-10,M,6,0,2020-03-15
1076,578,20,5,4,KG001076,Anitha,1987-08-11,F,7,0,2011-12-08
1077,578,20,7,2,KG001077,Nagaraj,1985-12-16,M,1,0,2017-07-22
1078,578,20,5,4,KG001078,Ravi,1991-10-11,M,3,0,2008-08-04
1079,578,20,5,4,KG001079,Imran,1995-03-03,M,2,0,2020-05-11
1080,578,20,7,4,KG001080,Harish,1996-09-13,M,1,0,2015-11-23
1081,578,21,1,4,KG001081,Prakash,1982-11-22,M,2,0,2014-04-24
1082,578,21,7,1,KG001082,Santosh,1980-12-10,M,6,0,2005-01-11
1083,578,21,7,2,KG001083,Naveen,1988-03-08,M,3,0,2018-10-22
1084,578,21,2,2,KG001084,Shivakumar,1994-07-20,M,5,0,2012-08-19
1085,578,21,5,2,KG001085,Manjunath,1983-11-01,M,8,0,2019-05-22
1086,578,22,3,2,KG001086,Nagaratna,1984-11-14,F,8,0,2013-08-28
1087,578,22,6,3,KG001087,Ravi,1982-07-19,M,7,0,2016-10-10
1088,578,22,4,3,KG001088,Vinay,1975-10-28,M,6,0,2006-10-24
1089,578,22,6,2,KG001089,Imran,1995-04-20,M,2,0,2013-11-25
1090,571,23,3,2,KG001090,Geetha,1976-05-26,F,5,0,2019-01-19
1091,571,23,5,3,KG001091,Prasad,1998-07-06,M,5,0,2011-03-26
1092,571,23,3,1,KG001092,Shivakumar,1983-08-26,M,2,0,2014-12-28
1093,571,23,1,4,KG001093,Ravi,1982-11-24,M,5,0,2017-09-12
1094,571,23,7,3,KG001094,Geetha,1978-08-12,F,4,0,2013-10-13
1095,571,24,6,4,KG001095,Santosh,1994-09-11,M,7,0,2012-11-03
1096,571,24,1,2,KG001096,Harish,1979-01-02,M,3,0,2014-08-04
1097,571,24,6,2,KG001097,Basavaraj,1989-06-22,M,2,0,2018-10-24
1098,571,24,2,4,KG001098,Shivakumar,1994-07-09,M,4,0,2006-12-12
1099,571,25,3,2,KG001099,Prakash,1996-06-18,M,8,0,2016-01-13
1100,571,25,3,2,KG001100,Kiran,1996-04-21,M,4,0,2005-01-26
1101,571,25,7,2,KG001101,Umesh,1992-04-19,M,1,0,2011-04-11
1102,571,25,6,1,KG001102,Kiran,1979-03-18,M,1,0,2013-03-04
1103,571,26,2,4,KG001103,Prasad,1993-06-01,M,2,0,2010-05-02
1104,571,26,1,4,KG001104,Vidya,1977-08-15,F,4,0,2016-09-19
1105,571,26,1,1,KG001105,Sushma,1976-12-26,F,7,0,2014-08-21
1106,571,26,3,2,KG001106,Manjunath,1996-02-16,M,3,0,2019-02-03
1107,581,27,5,3,KG001107,Sushma,1995-10-18,F,7,0,2015-07-20
1108,581,27,2,4,KG001108,Mahesh,1997-02-28,M,8,0,2011-07-15
1109,581,27,6,3,KG001109,Ramesh,1988-12-04,M,3,0,2015-07-11
1110,581,27,1,3,KG001110,Shwetha,1990-02-03,F,3,0,2007-02-14
1111,581,28,4,3,KG001111,Firoz,1993-09-18,M,7,0,2015-11-04
1112,581,28,5,2,KG001112,Savitha,1976-05-20,F,8,0,2014-06-04
1113,581,28,3,2,KG001113,Basavaraj,1978-06-28,M,1,0,2016-02-25
1114,581,28,6,3,KG001114,Divya,1996-12-09,F,6,0,2005-03-09
1115,581,28,6,1,KG001115,Manjunath,1980-03-19,M,4,0,2017-02-05
1116,581,29,3,1,KG001116,Suresh,1989-06-06,M,3,0,2016-05-24
1117,581,29,6,4,KG001117,Nagaraj,1994-01-22,M,8,0,2007-05-15
1118,581,29,1,3,KG001118,Firoz,1983-04-25,M,8,0,2008-06-14
1119,581,29,1,1,KG001119,Anitha,1996-05-02,F,5,0,2012-07-20
1120,582,30,6,4,KG001120,Naveen,1983-05-11,M,3,0,2008-01-16
1121,582,30,7,1,KG001121,Basavaraj,1992-12-08,M,1,0,2016-02-13
1122,582,30,6,4,KG001122,Santosh,1977-06-19,M,2,0,2018-10-13
1123,582,31,1,4,KG001123,Prakash,1985-03-26,M,4,0,2019-12-12
1124,582,31,3,3,KG001124,Vinay,1993-07-17,M,6,0,2007-07-28
1125,582,31,2,3,KG001125,Ramesh,1977-09-21,M,3,0,2008-09-17
1126,582,31,2,1,KG001126,Naveen,1978-03-09,M,8,0,2011-03-20
1127,582,32,2,4,KG001127,Geetha,1993-08-22,F,8,0,2015-11-11
1128,582,32,3,1,KG001128,Santosh,1995-05-26,M,8,0,2013-10-02
1129,582,32,7,1,KG001129,Umesh,1976-01-12,M,7,0,2014-02-21
1130,582,32,5,2,KG001130,Mahesh,1993-09-26,M,8,0,2006-08-26
1131,582,33,5,2,KG001131,Suresh,1976-08-04,M,4,0,2015-12-03
1132,582,33,3,4,KG001132,Nagaratna,1989-08-17,F,6,0,2010-06-12
1133,582,33,1,4,KG001133,Rekha,1994-01-26,F,5,0,2015-02-11
1134,582,33,5,2,KG001134,Divya,1996-10-28,F,5,0,2009-06-03
1135,582,33,1,3,KG001135,Vidya,1997-11-13,F,7,0,2009-10-23
1136,574,34,4,3,KG001136,Ravi,1979-11-23,M,6,0,2007-11-22
1137,574,34,2,2,KG001137,Manjunath,1980-04-11,M,5,0,2020-04-08
1138,574,34,7,2,KG001138,Umesh,1991-09-27,M,7,0,2006-11-11
1139,574,34,1,4,KG001139,Ramesh,1980-03-27,M,4,0,2010-12-15
1140,574,34,2,3,KG001140,Nagaraj,1994-05-25,M,4,0,2019-04-18
1141,574,35,5,4,KG001141,Savitha,1993-08-15,F,4,0,2014-07-17
1142,574,35,1,1,KG001142,Rekha,1979-05-02,F,2,0,2020-06-18
1143,574,35,2,4,KG001143,Ramesh,1983-08-17,M,1,0,2009-07-03
1144,574,35,1,3,KG001144,Vinay,1976-07-17,M,1,0,2016-04-13
1145,574,36,3,4,KG001145,Kiran,1997-11-11,M,8,0,2009-03-02
1146,574,36,7,2,KG001146,Harish,1994-01-03,M,7,0,2005-05-07
1147,574,36,4,4,KG001147,Manjunath,1984-04-10,M,2,0,2008-01-08
1148,574,36,3,4,KG001148,Ravi,1994-09-01,M,6,0,2012-12-05
1149,568,37,1,1,KG001149,Nagaratna,1988-03-22,F,8,0,2007-09-12
1150,568,37,3,1,KG001150,Ramesh,1995-07-12,M,4,0,2013-12-01
1151,568,37,3,3,KG001151,Deepa,1996-11-04,F,3,0,2015-03-02
1152,568,38,6,4,KG001152,Suresh,1997-08-21,M,5,0,2010-03-03
1153,568,38,4,4,KG001153,Girish,1976-04-02,M,1,0,2015-05-17
1154,568,38,3,1,KG001154,Shwetha,1981-05-12,F,6,0,2006-11-11
1155,568,38,4,4,KG001155,Ramesh,1987-12-15,M,5,0,2017-06-06
1156,568,38,2,3,KG001156,Mahesh,1998-07-03,M,2,0,2018-10-27
1157,568,39,4,2,KG001157,Shivakumar,1996-05-10,M,6,0,2019-10-23
1158,568,39,3,1,KG001158,Manjunath,1976-12-28,M,7,0,2016-10-14
1159,568,39,7,4,KG001159,Suresh,1991-12-22,M,3,0,2010-01-05
1160,568,40,5,2,KG001160,Firoz,1995-06-12,M,8,0,2017-10-02
1161,568,40,5,3,KG001161,Anil,1986-08-25,M,6,0,2007-10-05
1162,568,40,4,4,KG001162,Vidya,1983-04-04,F,2,0,2005-12-06
1163,567,41,2,1,KG001163,Kiran,1997-08-07,M,2,0,2014-12-16
1164,567,41,3,3,KG001164,Manjunath,1980-12-15,M,5,0,2007-11-28
1165,567,41,2,1,KG001165,Arun,1980-12-23,M,3,0,2010-06-17
1166,567,41,5,2,KG001166,Umesh,1990-01-12,M,2,0,2016-08-26
1167,567,42,7,4,KG001167,Lokesh,1987-12-24,M,2,0,2020-09-14
1168,567,42,5,3,KG001168,Kiran,1985-11-03,M,3,0,2019-08-22
1169,567,42,2,3,KG001169,Naveen,1988-09-28,M,3,0,2006-02-17
1170,567,43,2,3,KG001170,Savitha,1982-06-17,F,5,0,2014-02-09
1171,567,43,2,2,KG001171,Kavya,1992-02-17,F,6,0,2010-10-19
1172,567,43,5,3,KG001172,Kavya,1976-01-03,F,4,0,2006-11-25
1173,567,43,5,3,KG001173,Kavya,1988-10-21,F,5,0,2005-08-21
1174,567,44,1,2,KG001174,Shivakumar,1996-07-10,M,7,0,2019-02-23
1175,567,44,6,3,KG001175,Ramesh,1989-04-11,M,7,0,2009-06-28
1176,567,44,4,1,KG001176,Girish,1986-09-18,M,8,0,2008-06-08
1177,567,44,5,4,KG001177,Vinay,1979-02-02,M,3,0,2014-07-28
1178,566,45,4,4,KG001178,Rekha,1998-06-07,F,8,0,2010-08-17
1179,566,45,5,3,KG001179,Suresh,1977-07-17,M,1,0,2019-04-07
1180,566,45,1,1,KG001180,Basavaraj,1990-10-27,M,3,0,2020-05-18
1181,566,45,4,1,KG001181,Lokesh,1998-06-25,M,4,0,2017-06-02
1182,566,46,7,1,KG001182,Savitha,1984-02-13,F,2,0,2019-09-09
1183,566,46,5,4,KG001183,Prasad,1986-06-18,M,1,0,2016-03-07
1184,566,46,4,2,KG001184,Umesh,1976-03-23,M,3,0,2015-08-17
1185,566,46,7,3,KG001185,Lokesh,1994-06-06,M,6,0,2017-10-24
1186,566,47,1,3,KG001186,Divya,1992-08-23,F,2,0,2014-08-27
1187,566,47,3,2,KG001187,Suresh,1993-05-26,M,8,0,2005-10-16
1188,566,47,6,2,KG001188,Suresh,1991-11-24,M,2,0,2017-03-27
1189,566,47,6,2,KG001189,Basavaraj,1975-08-11,M,8,0,2018-03-14
1190,566,47,5,3,KG001190,Kavya,1998-01-23,F,8,0,2009-09-07
1191,555,48,6,3,KG001191,Umesh,1985-03-15,M,8,0,2015-09-12
1192,555,48,7,3,KG001192,Arun,1982-05-18,M,8,0,2014-04-10
1193,555,48,5,4,KG001193,Anil,1990-06-18,M,6,0,2013-05-04
1194,555,48,6,3,KG001194,Nagaraj,1984-01-10,M,4,0,2007-06-15
1195,555,48,5,2,KG001195,Vinay,1992-05-18,M,1,0,2013-03-04
1196,555,49,3,4,KG001196,Geetha,1982-11-08,F,3,0,2006-02-14
1197,555,49,2,3,KG001197,Mahesh,1992-03-14,M,5,0,2020-08-21
1198,555,49,6,1,KG001198,Savitha,1976-02-21,F,7,0,2012-09-24
1199,555,49,7,3,KG001199,Suresh,1976-07-26,M,1,0,2020-03-24
1200,555,49,6,4,KG001200,Kiran,1993-10-04,M,8,0,2015-05-15
1201,555,50,6,2,KG001201,Ravi,1978-06-06,M,6,0,2019-11-09
1202,555,50,7,4,KG001202,Basavaraj,1993-11-25,M,6,0,2011-03-20
1203,555,50,3,2,KG001203,Ravi,1987-11-04,M,5,0,2010-03-16
1204,555,50,5,1,KG001204,Girish,1982-08-25,M,6,0,2013-06-10
1205,555,51,4,3,KG001205,Prakash,1976-11-04,M,5,0,2019-05-06
1206,555,51,4,3,KG001206,Basavaraj,1994-04-08,M,8,0,2009-08-05
1207,555,51,5,1,KG001207,Vidya,1996-04-25,F,8,0,2012-11-25
1208,555,51,5,2,KG001208,Roopa,1997-06-03,F,3,0,2008-01-27
1209,555,51,6,4,KG001209,Manjunath,1985-09-15,M,8,0,2008-11-07
1210,562,52,5,4,KG001210,Firoz,1979-09-14,M,5,0,2019-10-02
1211,562,52,5,1,KG001211,Lakshmi,1975-07-09,F,7,0,2005-12-07
1212,562,52,1,3,KG001212,Basavaraj,1997-02-18,M,3,0,2006-02-16
1213,562,53,7,4,KG001213,Nagaratna,1998-11-14,F,2,0,2016-07-15
1214,562,53,5,4,KG001214,Vidya,1996-09-05,F,3,0,2016-02-06
1215,562,53,6,4,KG001215,Vidya,1982-01-25,F,7,0,2005-05-15
1216,562,54,7,1,KG001216,Suresh,1989-06-05,M,7,0,2013-04-24
1217,562,54,1,4,KG001217,Roopa,1975-04-07,F,1,0,2007-02-20
1218,562,54,2,1,KG001218,Kiran,1998-01-13,M,5,0,2019-04-18
1219,579,55,2,2,KG001219,Nagaratna,1993-06-19,F,5,0,2015-04-10
1220,579,55,4,4,KG001220,Suresh,1976-09-19,M,6,0,2010-11-22
1221,579,55,4,2,KG001221,Rekha,1996-07-26,F,7,0,2015-12-14
1222,579,56,6,2,KG001222,Shwetha,1990-04-28,F,8,0,2012-05-28
1223,579,56,3,2,KG001223,Mahesh,1992-07-14,M,2,0,2009-07-08
1224,579,56,4,1,KG001224,Manjunath,1986-02-18,M,4,0,2011-01-09
1225,579,57,3,3,KG001225,Lakshmi,1996-09-07,F,4,0,2020-04-28
1226,579,57,5,2,KG001226,Anil,1998-02-24,M,4,0,2020-04-23
1227,579,57,3,3,KG001227,Rekha,1985-05-13,F,6,0,2019-09-21
1228,579,57,3,3,KG001228,Nagaratna,1990-08-04,F,1,0,2020-06-07
1229,579,57,5,4,KG001229,Rekha,1982-12-05,F,3,0,2005-05-18
1230,579,58,6,3,KG001230,Girish,1982-07-19,M,8,0,2012-08-18
1231,579,58,7,3,KG001231,Savitha,1995-12-16,F,3,0,2019-03-24
1232,579,58,7,1,KG001232,Deepa,1992-08-06,F,1,0,2006-09-02
1233,565,59,1,2,KG001233,Prasad,1979-11-08,M,8,0,2007-12-05
1234,565,59,1,1,KG001234,Harish,1976-10-21,M,7,0,2020-11-16
1235,565,59,1,4,KG001235,Naveen,1975-09-24,M,2,0,2013-09-10
1236,565,60,7,4,KG001236,Geetha,1979-04-07,F,6,0,2013-06-09
1237,565,60,7,1,KG001237,Imran,1989-10-08,M,1,0,2012-05-22
1238,565,60,1,2,KG001238,Manjunath,1987-07-13,M,8,0,2020-01-21
1239,565,61,2,2,KG001239,Deepa,1985-10-28,F,8,0,2008-09-02
1240,565,61,6,1,KG001240,Naveen,1976-02-22,M,6,0,2013-09-19
1241,565,61,2,2,KG001241,Lokesh,1981-10-05,M,7,0,2017-02-10
1242,565,61,1,3,KG001242,Lakshmi,1992-06-13,F,2,0,2009-12-24
1243,575,62,6,3,KG001243,Shivakumar,1977-06-20,M,8,0,2017-06-01
1244,575,62,5,4,KG001244,Manjunath,1986-09-13,M,5,0,2018-03-22
1245,575,62,6,2,KG001245,Anil,1997-02-03,M,6,0,2013-03-13
1246,575,62,7,3,KG001246,Prakash,1978-02-01,M,3,0,2014-08-12
1247,575,63,1,3,KG001247,Harish,1988-08-18,M,2,0,2018-02-01
1248,575,63,4,4,KG001248,Shwetha,1994-06-28,F,2,0,2017-01-10
1249,575,63,2,2,KG001249,Rekha,1992-04-19,F,5,0,2010-11-13
1250,575,64,3,4,KG001250,Manjunath,1979-02-06,M,6,0,2018-05-14
1251,575,64,2,4,KG001251,Prakash,1982-12-21,M,3,0,2020-10-20
1252,575,64,3,4,KG001252,Imran,1975-07-11,M,3,0,2017-06-15
1253,575,64,2,4,KG001253,Mahesh,1985-10-23,M,5,0,2011-08-11
1254,575,65,3,4,KG001254,Divya,1995-08-19,F,2,0,2012-06-13
1255,575,65,5,1,KG001255,Bhavya,1981-10-18,F,8,0,2010-11-25
1256,575,65,7,4,KG001256,Kavya,1981-08-26,F,8,0,2014-12-03
1257,575,65,6,4,KG001257,Anil,1995-05-08,M,2,0,2013-11-05
1258,575,65,7,4,KG001258,Harish,1994-08-19,M,1,0,2017-09-17
1259,569,66,2,3,KG001259,Savitha,1992-10-21,F,1,0,2007-02-25
1260,569,66,4,1,KG001260,Lakshmi,1995-11-21,F,2,0,2017-06-26
1261,569,66,4,4,KG001261,Firoz,1982-09-24,M,3,0,2012-08-12
1262,569,66,1,2,KG001262,Ramesh,1975-08-04,M,5,0,2014-07-03
1263,569,67,4,4,KG001263,Mahesh,1981-09-16,M,2,0,2016-08-04
1264,569,67,1,2,KG001264,Vinay,1976-12-04,M,3,0,2005-06-21
1265,569,67,7,4,KG001265,Kavya,1980-06-18,F,3,0,2018-08-08
1266,569,67,5,2,KG001266,Shivakumar,1995-11-14,M,7,0,2017-01-24
1267,569,68,7,1,KG001267,Lokesh,1997-04-07,M,2,0,2013-12-26
1268,569,68,3,4,KG001268,Vidya,1980-06-11,F,6,0,2011-08-04
1269,569,68,7,4,KG001269,Roopa,1987-10-13,F,3,0,2008-06-12
1270,569,68,3,1,KG001270,Anitha,1997-05-20,F,5,0,2007-11-05
1271,569,69,2,4,KG001271,Basavaraj,1986-12-05,M,3,0,2017-07-20
1272,569,69,4,3,KG001272,Kiran,1995-09-23,M,3,0,2010-09-06
1273,569,69,2,2,KG001273,Anil,1989-10-02,M,8,0,2016-01-16
