AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
221,187,Firoz Naik,23,M,A1
222,188,Manjunath Bhat,32,M,A1
223,189,Suresh Murthy,28,M,A1
224,190,Unknown,20,M,A1
225,191,Kavya Raju,20,M,A1
226,191,Arun Raju,35,M,A2
227,192,Anil Kumar,33,M,A1
228,192,Kiran Prasad,41,M,A2
229,193,Unknown,32,M,A1
230,194,Harish Shetty,29,M,A1
231,195,Nagaraj Hegde,37,M,A1
232,195,Naveen Gowda,21,M,A2
233,196,Vinay Murthy,20,M,A1
234,197,Unknown,28,M,A1
235,198,Umesh Nayak,34,M,A1
236,198,Prasad Patil,36,M,A2
237,199,Unknown,41,M,A1
238,200,Naveen Murthy,37,M,A1
239,200,Basavaraj Kumar,25,M,A2
240,201,Shivakumar Bhat,20,M,A1
241,201,Harish Pasha,28,M,A2
242,202,Anitha Patil,38,M,A1
243,202,Suresh Setty,40,M,A2
244,203,Manjunath Shetty,38,M,A1
245,204,Unknown,24,M,A1
246,205,Unknown,34,M,A1
247,206,Umesh Pasha,18,M,A1
248,206,Nagaratna Murthy,38,M,A2
249,207,Vidya Nayak,33,M,A1
250,207,Shivakumar Shetty,39,M,A2
251,208,Unknown,43,M,A1
252,209,Deepa Nayak,28,M,A1
253,210,Suresh Kumar,45,M,A1
254,211,Unknown,27,M,A1
255,212,Unknown,37,M,A1
256,213,Unknown,22,M,A1
257,214,Unknown,24,M,A1
258,215,Unknown,27,M,A1
259,216,Ravi Patil,35,M,A1
260,216,Girish Shetty,21,M,A2
261,217,Naveen Setty,33,M,A1
262,217,Kavya Raju,36,M,A2
263,218,Imran Naik,20,M,A1
264,219,Shwetha Patil,23,M,A1
265,220,Ravi Nayak,28,M,A1
266,221,Unknown,32,M,A1
267,222,Prakash Gowda,22,M,A1
268,223,Prakash Kumar,24,M,A1
269,224,Nagaratna Patil,19,M,A1
270,224,Suresh Kumar,18,M,A2
271,225,Lokesh Murthy,24,M,A1
272,226,Firoz Naik,35,M,A1
273,226,Shivakumar Raju,42,M,A2
274,227,Anitha Murthy,35,M,A1
275,228,Unknown,24,M,A1
276,229,Unknown,32,M,A1
277,230,Unknown,22,M,A1
278,231,Santosh Setty,20,M,A1
279,232,Unknown,32,M,A1
280,233,Unknown,31,M,A1
281,234,Suresh Shetty,33,M,A1
282,234,Roopa Naik,44,M,A2
283,235,Savitha Gowda,30,M,A1
284,236,Ramesh Prasad,24,M,A1
285,237,Unknown,27,M,A1
286,238,Vidya Achar,32,M,A1
287,239,Unknown,29,M,A1
288,240,Deepa Gowda,22,M,A1
289,241,Nagaraj Shetty,35,M,A1
290,241,Shivakumar Reddy,22,M,A2
291,242,Basavaraj Achar,42,M,A1
292,243,Sushma Shetty,19,M,A1
293,244,Unknown,29,M,A1
294,245,Prakash Setty,43,M,A1
295,246,Unknown,38,M,A1
296,247,Bhavya Naik,36,M,A1
297,248,Unknown,27,M,A1
298,249,Unknown,41,M,A1
299,250,Arun Hegde,23,M,A1
300,250,Prakash Bhat,43,M,A2
301,251,Ramesh Patil,29,M,A1
302,251,Arun Setty,22,M,A2
303,252,Suresh Hegde,32,M,A1
304,252,Prakash Shetty,23,M,A2
305,253,Shivakumar Pasha,37,M,A1
306,253,Geetha Setty,21,M,A2
307,254,Kiran Prasad,38,M,A1
308,255,Mahesh Murthy,42,M,A1
309,255,Shwetha Achar,27,M,A2
310,256,Unknown,34,M,A1
311,257,Vinay Shetty,19,M,A1
312,258,Mahesh Nayak,22,M,A1
313,259,Rekha Pasha,18,M,A1
314,259,Ramesh Nayak,44,M,A2
315,260,Firoz Setty,28,M,A1
316,261,Lokesh Shetty,19,M,A1
317,262,Santosh Bhat,23,M,A1
318,263,Ravi Gowda,37,M,A1
319,263,Manjunath Rao,27,M,A2
320,264,Kavya Rao,27,M,A1
321,265,Unknown,38,M,A1
322,266,Ramesh Rao,18,M,A1
323,266,Shivakumar Hegde,23,M,A2
324,267,Suresh Gowda,21,M,A1
325,267,Savitha Patil,39,M,A2
326,268,Unknown,39,M,A1
327,269,Basavaraj Raju,45,M,A1
328,270,Mahesh Prasad,26,M,A1
329,271,Ravi Reddy,39,M,A1
330,271,Arun Raju,39,M,A2
331,272,Naveen Bhat,19,M,A1
332,273,Basavaraj Pasha,26,M,A1
333,274,Arun Raju,23,M,A1
334,275,Ravi Hegde,43,M,A1
335,276,Umesh Achar,20,M,A1
336,277,Unknown,34,M,A1
337,278,Bhavya Setty,39,M,A1
338,278,Anil Reddy,41,M,A2
339,279,Basavaraj Setty,20,M,A1
340,280,Prakash Prasad,26,M,A1
341,281,Imran Nayak,41,M,A1
342,282,Arun Prasad,34,M,A1
343,283,Santosh Shetty,40,M,A1
344,284,Firoz Murthy,33,M,A1
345,284,Nagaraj Rao,44,M,A2
346,285,Anil Setty,35,M,A1
347,286,Unknown,24,M,A1
348,287,Manjunath Achar,29,M,A1
349,288,Shwetha Patil,19,M,A1
350,289,Roopa Pasha,20,M,A1
351,289,Santosh Prasad,25,M,A2
352,290,Unknown,33,M,A1
353,291,Unknown,45,M,A1
354,292,Santosh Murthy,43,M,A1
355,293,Imran Patil,29,M,A1
356,294,Unknown,25,M,A1
357,295,Harish Nayak,33,M,A1
358,296,Imran Hegde,19,M,A1
359,296,Sushma Raju,40,M,A2
360,297,Arun Gowda,28,M,A1
361,298,Deepa Naik,21,M,A1
362,298,Sushma Naik,20,M,A2
363,299,Girish Murthy,23,M,A1
364,300,Prakash Kumar,36,M,A1
365,300,Kiran Nayak,28,M,A2
366,301,Divya Achar,27,M,A1
367,301,Firoz Raju,19,M,A2
368,302,Unknown,20,M,A1
369,303,Geetha Setty,25,M,A1
370,303,Firoz Gowda,37,M,A2
371,304,Vidya Shetty,39,M,A1
372,304,Manjunath Setty,41,M,A2
373,305,Mahesh Hegde,24,M,A1
374,306,Bhavya Raju,25,M,A1
375,307,Unknown,41,M,A1
376,308,Unknown,26,M,A1
377,309,Anil Reddy,38,M,A1
378,309,Deepa Naik,33,M,A2
379,310,Unknown,21,M,A1
380,311,Unknown,35,M,A1
381,312,Unknown,45,M,A1
382,313,Firoz Prasad,45,M,A1
383,314,Unknown,39,M,A1
384,315,Rekha Bhat,33,M,A1
385,315,Savitha Bhat,40,M,A2
386,316,Nagaraj Kumar,33,M,A1
387,317,Shivakumar Patil,25,M,A1
388,318,Prakash Nayak,20,M,A1
389,319,Girish Bhat,38,M,A1
390,320,Naveen Murthy,42,M,A1
391,321,Anil Reddy,31,M,A1
392,322,Unknown,37,M,A1
393,323,Manjunath Achar,45,M,A1
394,324,Sushma Bhat,41,M,A1
395,324,Divya Naik,20,M,A2
396,325,Vinay Achar,31,M,A1
397,326,Unknown,31,M,A1
398,327,Arun Murthy,33,M,A1
399,327,Prasad Setty,26,M,A2
400,328,Savitha Rao,40,M,A1
401,329,Suresh Rao,31,M,A1
402,330,Vinay Rao,43,M,A1
403,331,Kiran Reddy,44,M,A1
404,332,Basavaraj Gowda,35,M,A1
405,333,Prakash Kumar,44,M,A1
406,333,Kavya Patil,42,M,A2
407,334,Nagaratna Raju,36,M,A1
408,335,Mahesh Hegde,19,M,A1
409,336,Prakash Pasha,25,M,A1
410,337,Lokesh Reddy,30,M,A1
411,338,Nagaraj Naik,28,M,A1
412,338,Ramesh Patil,44,M,A2
413,339,Umesh Raju,45,M,A1
414,340,Ravi Pasha,31,M,A1
415,340,Basavaraj Murthy,23,M,A2
416,341,Imran Patil,32,M,A1
417,342,Bhavya Bhat,22,M,A1
418,342,Vinay Prasad,42,M,A2
419,343,Naveen Shetty,27,M,A1
420,344,Lokesh Setty,38,M,A1
421,344,Naveen Murthy,37,M,A2
422,345,Divya Nayak,39,M,A1
423,346,Unknown,24,M,A1
424,347,Arun Setty,41,M,A1
425,347,Lakshmi Prasad,34,M,A2
426,348,Unknown,22,M,A1
427,349,Unknown,43,M,A1
428,350,Shwetha Naik,25,M,A1
429,351,Bhavya Nayak,44,M,A1
430,351,Shivakumar Naik,25,M,A2
431,352,Deepa Pasha,36,M,A1
432,353,Basavaraj Patil,30,M,A1
433,354,Unknown,33,M,A1
434,355,Geetha Naik,20,M,A1
435,356,Unknown,35,M,A1
436,357,Unknown,27,M,A1
437,358,Unknown,41,M,A1
438,359,Shivakumar Naik,18,M,A1
439,359,Divya Shetty,43,M,A2
440,360,Anitha Murthy,28,M,A1
441,360,Manjunath Raju,38,M,A2
442,361,Unknown,36,M,A1
443,362,Deepa Achar,29,M,A1
444,362,Ramesh Pasha,33,M,A2
445,363,Savitha Rao,21,M,A1
446,363,Savitha Murthy,18,M,A2
447,364,Santosh Kumar,39,M,A1
448,364,Imran Bhat,37,M,A2
449,365,Nagaraj Pasha,18,M,A1
450,366,Nagaraj Achar,37,M,A1
451,367,Unknown,35,M,A1
452,368,Unknown,44,M,A1
453,369,Deepa Naik,44,M,A1
454,370,Unknown,39,M,A1
455,371,Rekha Nayak,18,M,A1
456,372,Nagaratna Achar,33,M,A1
457,372,Anil Kumar,33,M,A2
458,373,Santosh Rao,26,M,A1
459,374,Unknown,44,M,A1
460,375,Unknown,29,M,A1
461,376,Unknown,32,M,A1
462,377,Nagaratna Raju,41,M,A1
463,377,Lokesh Setty,31,M,A2
464,378,Basavaraj Setty,40,M,A1
465,378,Nagaratna Gowda,37,M,A2
466,379,Imran Shetty,32,M,A1
467,380,Santosh Kumar,19,M,A1
468,381,Prasad Setty,31,M,A1
469,381,Vidya Shetty,33,M,A2
470,382,Santosh Rao,41,M,A1
471,383,Manjunath Pasha,34,M,A1
472,384,Umesh Gowda,31,M,A1
473,385,Umesh Patil,28,M,A1
474,386,Unknown,33,M,A1
475,387,Prakash Rao,42,M,A1
476,387,Prakash Setty,43,M,A2
477,388,Naveen Raju,23,M,A1
478,388,Harish Gowda,20,M,A2
479,389,Shwetha Hegde,24,M,A1
480,390,Roopa Patil,38,M,A1
481,391,Savitha Naik,37,M,A1
482,392,Unknown,21,M,A1
483,393,Naveen Shetty,40,M,A1
484,394,Divya Bhat,21,M,A1
485,395,Shivakumar Rao,22,M,A1
486,395,Suresh Patil,38,M,A2
487,396,Mahesh Nayak,27,M,A1
488,396,Umesh Achar,29,M,A2
489,397,Kiran Murthy,31,M,A1
490,397,Lokesh Murthy,43,M,A2
491,398,Unknown,39,M,A1
492,399,Manjunath Patil,39,M,A1
493,399,Umesh Pasha,20,M,A2
494,400,Ravi Rao,35,M,A1
495,401,Deepa Naik,20,M,A1
496,401,Rekha Rao,32,M,A2
497,402,Unknown,22,M,A1
498,403,Girish Raju,23,M,A1
499,404,Unknown,42,M,A1
500,405,Unknown,31,M,A1
501,406,Deepa Bhat,42,M,A1
502,407,Savitha Setty,21,M,A1
503,408,Unknown,43,M,A1
504,409,Unknown,32,M,A1
505,410,Unknown,35,M,A1
506,411,Unknown,26,M,A1
507,412,Suresh Pasha,43,M,A1
508,413,Prasad Bhat,36,M,A1
509,413,Kiran Raju,31,M,A2
510,414,Girish Shetty,36,M,A1
511,415,Unknown,26,M,A1
512,416,Unknown,33,M,A1
513,417,Lakshmi Rao,36,M,A1
514,417,Mahesh Prasad,28,M,A2
515,418,Unknown,22,M,A1
516,419,Girish Kumar,39,M,A1
517,420,Arun Rao,27,M,A1
518,421,Unknown,21,M,A1
519,422,Vinay Shetty,35,M,A1
520,423,Unknown,44,M,A1
521,424,Unknown,24,M,A1
522,425,Nagaratna Nayak,18,M,A1
523,426,Unknown,19,M,A1
524,427,Arun Naik,30,M,A1
525,428,Imran Raju,42,M,A1
526,428,Ramesh Setty,27,M,A2
527,429,Unknown,28,M,A1
528,430,Unknown,24,M,A1
529,431,Vidya Gowda,25,M,A1
530,432,Ravi Rao,44,M,A1
531,432,Arun Kumar,41,M,A2
532,433,Bhavya Shetty,21,M,A1
533,434,Unknown,45,M,A1
534,435,Unknown,21,M,A1
535,436,Unknown,29,M,A1
536,437,Basavaraj Gowda,38,M,A1
537,438,Firoz Hegde,20,M,A1
538,439,Vinay Gowda,18,M,A1
539,440,Unknown,42,M,A1
540,441,Suresh Kumar,36,M,A1
541,442,Vinay Prasad,22,M,A1
542,442,Prasad Achar,32,M,A2
543,443,Shivakumar Pasha,39,M,A1
544,444,Unknown,36,M,A1
545,445,Savitha Naik,18,M,A1
546,445,Firoz Setty,42,M,A2
547,446,Deepa Prasad,41,M,A1
548,447,Umesh Naik,33,M,A1
549,447,Kavya Nayak,37,M,A2
550,448,Unknown,36,M,A1
551,449,Manjunath Achar,23,M,A1
552,450,Unknown,28,M,A1
553,451,Santosh Nayak,21,M,A1
554,452,Unknown,21,M,A1
555,453,Unknown,40,M,A1
556,454,Unknown,25,M,A1
557,455,Rekha Prasad,29,M,A1
558,455,Ravi Rao,45,M,A2
559,456,Unknown,40,M,A1
560,457,Geetha Raju,19,M,A1
561,458,Unknown,23,M,A1
562,459,Deepa Nayak,32,M,A1
563,459,Naveen Kumar,20,M,A2
564,460,Unknown,35,M,A1
565,461,Unknown,44,M,A1
566,462,Unknown,19,M,A1
567,463,Lokesh Murthy,31,M,A1
568,464,Ramesh Raju,44,M,A1
569,465,Basavaraj Shetty,29,M,A1
570,466,Prakash Gowda,37,M,A1
571,467,Unknown,18,M,A1
572,468,Suresh Nayak,40,M,A1
573,469,Unknown,18,M,A1
574,470,Lokesh Pasha,39,M,A1
575,471,Unknown,24,M,A1
576,472,Basavaraj Rao,19,M,A1
577,472,Arun Nayak,34,M,A2
578,473,Savitha Kumar,34,M,A1
579,473,Shivakumar Setty,34,M,A2
580,474,Umesh Prasad,35,M,A1
581,475,Prakash Nayak,23,M,A1
582,475,Shwetha Raju,27,M,A2
583,476,Unknown,36,M,A1
584,477,Prakash Patil,24,M,A1
585,478,Unknown,20,M,A1
586,479,Kavya Patil,40,M,A1
587,479,Roopa Raju,37,M,A2
588,480,Umesh Raju,24,M,A1
589,481,Unknown,28,M,A1
590,482,Unknown,27,M,A1
591,483,Unknown,26,M,A1
592,484,Unknown,31,M,A1
593,485,Girish Reddy,26,M,A1
594,485,Firoz Prasad,27,M,A2
595,486,Unknown,45,M,A1
596,487,Unknown,45,M,A1
597,488,Kavya Achar,25,M,A1
598,489,Unknown,24,M,A1
599,490,Manjunath Raju,32,M,A1
600,491,Mahesh Bhat,31,M,A1
601,492,Santosh Naik,27,M,A1
602,492,Geetha Patil,18,M,A2
603,493,Manjunath Setty,18,M,A1
604,494,Unknown,34,M,A1
605,495,Girish Setty,44,M,A1
606,495,Kiran Shetty,35,M,A2
607,496,Prasad Kumar,35,M,A1
608,497,Unknown,18,M,A1
609,498,Imran Naik,34,M,A1
610,499,Unknown,19,M,A1
611,500,Girish Bhat,35,M,A1
612,501,Deepa Gowda,37,M,A1
613,502,Mahesh Hegde,18,M,A1
614,502,Geetha Kumar,20,M,A2
615,503,Unknown,35,M,A1
616,504,Unknown,21,M,A1
617,505,Unknown,40,M,A1
618,506,Unknown,22,M,A1
619,507,Kiran Shetty,20,M,A1
620,508,Prasad Kumar,32,M,A1
621,508,Girish Nayak,18,M,A2
622,509,Harish Setty,41,M,A1
623,509,Harish Naik,36,M,A2
624,510,Unknown,42,M,A1
625,511,Imran Murthy,19,M,A1
626,512,Unknown,36,M,A1
627,513,Prakash Prasad,33,M,A1
628,514,Anitha Prasad,29,M,A1
629,515,Anitha Bhat,44,M,A1
630,516,Nagaratna Hegde,30,M,A1
631,516,Mahesh Nayak,36,M,A2
632,517,Savitha Achar,30,M,A1
633,517,Lokesh Raju,27,M,A2
634,518,Lokesh Prasad,25,M,A1
635,519,Imran Kumar,40,M,A1
636,519,Deepa Gowda,34,M,A2
637,520,Nagaraj Kumar,41,M,A1
638,521,Bhavya Pasha,43,M,A1
639,522,Unknown,19,M,A1
640,523,Unknown,44,M,A1
641,524,Naveen Achar,24,M,A1
642,525,Unknown,30,M,A1
643,526,Unknown,36,M,A1
644,527,Suresh Pasha,31,M,A1
645,527,Manjunath Kumar,33,M,A2
646,528,Kiran Reddy,23,M,A1
647,529,Basavaraj Murthy,40,M,A1
648,529,Ramesh Prasad,19,M,A2
649,530,Ramesh Setty,21,M,A1
650,531,Unknown,37,M,A1
651,532,Unknown,18,M,A1
652,533,Umesh Patil,36,M,A1
653,534,Girish Achar,20,M,A1
654,534,Anil Patil,20,M,A2
655,535,Kiran Hegde,30,M,A1
656,536,Naveen Murthy,24,M,A1
657,537,Roopa Setty,23,M,A1
658,537,Vinay Reddy,26,M,A2
659,538,Basavaraj Hegde,39,M,A1
660,539,Unknown,42,M,A1
661,540,Suresh Patil,21,M,A1
662,540,Savitha Setty,36,M,A2
663,541,Bhavya Gowda,40,M,A1
664,542,Imran Murthy,31,M,A1
665,542,Umesh Achar,25,M,A2
666,543,Divya Achar,42,M,A1
667,544,Imran Naik,23,M,A1
668,545,Naveen Pasha,32,M,A1
669,546,Umesh Hegde,27,M,A1
670,546,Anitha Shetty,41,M,A2
671,547,Unknown,24,M,A1
672,548,Naveen Murthy,45,M,A1
673,549,Unknown,23,M,A1
674,550,Prakash Setty,36,M,A1
675,551,Unknown,36,M,A1
676,552,Unknown,39,M,A1
677,553,Prakash Reddy,23,M,A1
678,554,Ravi Rao,19,M,A1
679,554,Ramesh Gowda,18,M,A2
680,555,Prakash Murthy,31,M,A1
681,556,Unknown,31,M,A1
682,557,Unknown,33,M,A1
683,558,Naveen Bhat,22,M,A1
684,558,Firoz Setty,40,M,A2
685,559,Prakash Setty,36,M,A1
686,560,Unknown,33,M,A1
687,561,Sushma Nayak,41,M,A1
688,562,Unknown,40,M,A1
689,563,Umesh Naik,44,M,A1
690,564,Harish Shetty,42,M,A1
691,565,Kiran Raju,36,M,A1
692,565,Prakash Shetty,25,M,A2
693,566,Mahesh Pasha,22,M,A1
694,566,Anil Raju,32,M,A2
695,567,Unknown,36,M,A1
696,568,Kavya Prasad,20,M,A1
697,569,Prasad Shetty,26,M,A1
698,570,Vinay Achar,35,M,A1
699,571,Anil Bhat,42,M,A1
700,572,Girish Hegde,20,M,A1
701,573,Unknown,29,M,A1
702,574,Imran Kumar,19,M,A1
703,574,Kiran Reddy,37,M,A2
704,575,Imran Nayak,23,M,A1
705,576,Unknown,25,M,A1
706,577,Savitha Prasad,38,M,A1
707,578,Nagaratna Bhat,26,M,A1
708,578,Roopa Prasad,33,M,A2
709,579,Bhavya Murthy,44,M,A1
710,579,Umesh Rao,24,M,A2
711,580,Ravi Reddy,18,M,A1
712,581,Shwetha Achar,27,M,A1
713,582,Imran Hegde,43,M,A1
714,583,Imran Patil,34,M,A1
715,584,Harish Shetty,38,M,A1
716,584,Nagaratna Naik,23,M,A2
717,585,Unknown,20,M,A1
718,586,Unknown,29,M,A1
719,587,Kiran Hegde,20,M,A1
720,588,Nagaratna Raju,22,M,A1
721,588,Savitha Shetty,20,M,A2
722,589,Unknown,39,M,A1
723,590,Anil Reddy,27,M,A1
724,591,Unknown,42,M,A1
725,592,Unknown,23,M,A1
726,593,Vinay Reddy,18,M,A1
727,593,Basavaraj Shetty,23,M,A2
728,594,Anil Nayak,20,M,A1
729,594,Kavya Setty,31,M,A2
730,595,Unknown,45,M,A1
731,596,Deepa Achar,25,M,A1
732,597,Girish Rao,42,M,A1
733,597,Imran Reddy,39,M,A2
734,598,Firoz Reddy,24,M,A1
735,599,Kiran Gowda,39,M,A1
736,599,Imran Raju,24,M,A2
737,600,Vinay Hegde,18,M,A1
738,601,Unknown,20,M,A1
739,602,Santosh Kumar,37,M,A1
740,603,Unknown,35,M,A1
