ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
162,162,Shwetha Nayak,55,5,3,2,F
163,163,Lakshmi Murthy,23,2,1,2,F
164,164,Suresh Achar,30,1,1,4,M
165,165,Savitha Bhat,62,4,4,3,F
166,166,Umesh Pasha,29,2,4,4,M
167,167,Shivakumar Shetty,63,2,1,1,M
168,168,Geetha Hegde,36,6,4,3,F
169,169,Basavaraj Raju,54,5,3,3,M
170,170,Lakshmi Gowda,51,5,2,3,F
171,171,Bhavya Raju,60,4,1,3,F
172,172,Nagaraj Nayak,27,3,1,2,M
173,173,Prakash Setty,70,2,1,4,M
174,174,Harish Shetty,28,2,2,1,M
175,175,Anil Hegde,44,2,1,1,M
176,176,Nagaraj Raju,30,2,3,1,M
177,177,Imran Kumar,18,1,1,4,M
178,178,Shwetha Nayak,61,5,2,3,F
179,179,Arun Nayak,25,1,2,1,M
180,180,Prasad Hegde,34,4,1,3,M
181,181,Mahesh Bhat,33,2,1,1,M
182,182,Santosh Prasad,21,2,1,1,M
183,183,Lokesh Murthy,24,3,3,3,M
184,184,Lakshmi Patil,41,1,4,3,F
185,185,Vinay Pasha,47,6,4,2,M
186,186,Nagaratna Shetty,24,6,2,3,F
187,187,Imran Hegde,38,3,4,2,M
188,188,Basavaraj Raju,43,3,3,3,M
189,189,Shwetha Hegde,50,4,1,1,F
190,190,Arun Pasha,43,4,4,4,M
191,191,Divya Gowda,66,1,2,2,F
192,192,Shivakumar Reddy,32,6,1,2,M
193,193,Shivakumar Nayak,51,1,1,3,M
194,194,Kavya Naik,58,4,4,4,F
195,195,Nagaraj Nayak,38,2,1,2,M
196,196,Suresh Gowda,42,1,4,2,M
197,197,Geetha Setty,25,6,2,1,F
198,198,Divya Kumar,61,6,4,1,F
199,199,Kavya Reddy,26,7,3,1,F
200,200,Lokesh Murthy,26,4,1,4,M
201,201,Roopa Rao,23,3,3,4,F
202,202,Ramesh Pasha,30,6,1,4,M
203,203,Rekha Bhat,28,7,3,4,F
204,204,Anitha Pasha,29,3,1,4,F
205,205,Lakshmi Reddy,49,5,1,1,F
206,206,Kiran Gowda,18,2,3,2,M
207,207,Deepa Reddy,56,3,4,1,F
208,208,Lokesh Naik,68,6,4,4,M
209,209,Ramesh Rao,42,4,1,4,M
210,210,Lakshmi Achar,36,3,2,2,F
211,211,Santosh Nayak,26,3,2,4,M
212,212,Suresh Shetty,58,4,4,4,M
213,213,Shwetha Kumar,62,7,4,4,F
214,214,Harish Nayak,56,6,1,1,M
215,215,Bhavya Shetty,51,1,2,1,F
216,216,Ramesh Kumar,58,7,2,3,M
217,217,Harish Hegde,51,2,1,2,M
218,218,Rekha Naik,35,5,4,3,F
219,219,Harish Setty,65,4,1,4,M
220,220,Anitha Bhat,31,1,4,4,F
221,221,Santosh Setty,48,7,2,3,M
222,222,Firoz Rao,44,6,4,4,M
223,223,Girish Patil,33,7,2,4,M
224,224,Santosh Shetty,50,5,3,3,M
225,225,Anitha Raju,33,2,1,2,F
226,226,Kiran Bhat,28,1,1,2,M
227,227,Suresh Rao,52,5,2,3,M
228,228,Anil Hegde,34,4,4,2,M
229,229,Anil Murthy,37,2,2,1,M
230,230,Savitha Pasha,63,8,2,3,F
231,231,Nagaraj Kumar,61,2,2,1,M
232,232,Shwetha Gowda,34,3,2,3,F
233,233,Vidya Pasha,44,4,4,1,F
234,234,Kiran Shetty,31,3,4,1,M
235,235,Rekha Shetty,68,3,1,1,F
236,236,Shivakumar Pasha,70,6,4,4,M
237,237,Lokesh Pasha,35,1,1,3,M
238,238,Geetha Naik,28,4,2,2,F
239,239,Savitha Bhat,24,3,1,3,F
240,240,Vidya Nayak,23,5,1,1,F
241,241,Nagaratna Achar,67,2,3,3,F
242,242,Deepa Prasad,23,4,3,2,F
243,243,Geetha Prasad,27,5,1,4,F
244,244,Divya Prasad,44,6,1,2,F
245,245,Arun Patil,60,8,4,1,M
246,246,Mahesh Kumar,27,7,2,4,M
247,247,Manjunath Gowda,38,7,1,2,M
248,248,Kavya Shetty,23,2,4,1,F
249,249,Geetha Achar,18,6,4,1,F
250,250,Sushma Pasha,63,7,4,2,F
251,251,Nagaratna Gowda,56,2,2,3,F
252,252,Divya Achar,61,4,2,1,F
253,253,Nagaratna Naik,35,6,4,1,F
254,254,Rekha Kumar,39,3,4,1,F
255,255,Ravi Murthy,49,8,4,2,M
256,256,Ravi Nayak,65,3,3,1,M
257,257,Prasad Pasha,43,7,1,1,M
258,258,Santosh Patil,29,3,3,1,M
259,259,Prakash Bhat,66,6,4,4,M
260,260,Anitha Raju,41,2,3,4,F
261,261,Manjunath Bhat,37,1,4,1,M
262,262,Firoz Raju,48,7,4,1,M
263,263,Sushma Setty,62,7,4,4,F
264,264,Bhavya Murthy,21,3,4,2,F
265,265,Deepa Patil,43,5,4,1,F
266,266,Lokesh Raju,36,1,3,1,M
267,267,Roopa Hegde,42,3,3,3,F
268,268,Anil Rao,38,4,2,3,M
269,269,Roopa Pasha,30,6,3,2,F
270,270,Anil Reddy,51,2,4,3,M
271,271,Prasad Patil,24,6,4,4,M
272,272,Ravi Patil,44,1,1,1,M
273,273,Deepa Patil,67,5,3,1,F
274,274,Nagaraj Gowda,35,7,4,4,M
275,275,Roopa Hegde,52,3,4,4,F
276,276,Divya Pasha,18,4,4,1,F
277,277,Ravi Setty,63,1,2,3,M
278,278,Santosh Rao,28,1,1,2,M
279,279,Shivakumar Achar,69,2,2,4,M
280,280,Lokesh Pasha,44,4,2,4,M
281,281,Bhavya Reddy,55,2,3,4,F
282,282,Rekha Achar,39,7,3,2,F
283,283,Ramesh Murthy,18,5,4,4,M
284,284,Arun Reddy,45,1,2,2,M
285,285,Rekha Patil,51,5,4,4,F
286,286,Roopa Prasad,69,4,1,3,F
287,287,Umesh Achar,52,3,1,1,M
288,288,Suresh Kumar,50,5,3,1,M
289,289,Rekha Hegde,45,8,2,1,F
290,290,Divya Rao,54,2,1,2,F
291,291,Kavya Patil,52,6,4,4,F
292,292,Nagaratna Bhat,18,5,3,3,F
293,293,Mahesh Shetty,62,1,4,2,M
294,294,Mahesh Hegde,69,8,2,2,M
295,295,Vidya Naik,40,4,2,3,F
296,296,Mahesh Shetty,18,6,3,1,M
297,297,Kavya Reddy,25,6,1,3,F
298,298,Rekha Hegde,29,6,1,3,F
299,299,Rekha Rao,63,6,4,2,F
300,300,Manjunath Murthy,39,5,2,4,M
301,301,Lokesh Prasad,46,7,4,2,M
302,302,Sushma Gowda,47,3,2,2,F
303,303,Kiran Raju,42,6,3,4,M
304,304,Lakshmi Hegde,37,7,2,2,F
305,305,Geetha Kumar,63,7,4,1,F
306,306,Divya Bhat,44,1,1,3,F
307,307,Divya Bhat,50,7,4,1,F
308,308,Ravi Prasad,61,4,1,4,M
309,309,Savitha Nayak,40,8,2,2,F
310,310,Nagaratna Shetty,33,2,4,2,F
311,311,Deepa Nayak,66,3,2,4,F
312,312,Firoz Naik,28,6,1,4,M
313,313,Naveen Patil,69,8,1,1,M
314,314,Geetha Rao,45,5,1,2,F
315,315,Prasad Bhat,66,1,2,3,M
316,316,Vidya Setty,59,7,4,2,F
317,317,Kavya Shetty,60,6,1,3,F
318,318,Shivakumar Shetty,33,1,3,1,M
319,319,Divya Pasha,49,5,3,3,F
320,320,Mahesh Pasha,37,2,3,2,M
321,321,Rekha Prasad,65,7,4,1,F
322,322,Nagaraj Pasha,33,1,4,4,M
323,323,Lokesh Hegde,46,5,1,2,M
324,324,Vidya Setty,69,1,4,1,F
325,325,Lakshmi Raju,47,5,1,4,F
326,326,Mahesh Achar,52,4,2,2,M
327,327,Naveen Murthy,29,2,4,3,M
328,328,Lakshmi Rao,64,4,2,1,F
329,329,Roopa Achar,58,1,1,3,F
330,330,Kavya Setty,34,2,4,4,F
331,331,Roopa Reddy,45,7,1,2,F
332,332,Shwetha Nayak,39,2,3,3,F
333,333,Lokesh Reddy,30,6,2,2,M
334,334,Kiran Pasha,66,3,2,4,M
335,335,Vinay Nayak,67,5,1,4,M
336,336,Rekha Achar,64,7,3,3,F
337,337,Deepa Raju,55,1,3,4,F
338,338,Shwetha Kumar,47,4,3,4,F
339,339,Harish Kumar,55,7,1,2,M
340,340,Vinay Nayak,62,4,2,1,M
341,341,Harish Achar,68,2,2,3,M
342,342,Basavaraj Rao,63,7,2,4,M
343,343,Anil Raju,39,7,4,4,M
344,344,Vidya Gowda,24,1,3,4,F
345,345,Lokesh Kumar,40,2,4,2,M
346,346,Shwetha Murthy,51,5,3,2,F
347,347,Kavya Achar,55,1,1,1,F
348,348,Savitha Raju,18,4,3,4,F
349,349,Savitha Patil,20,2,1,1,F
350,350,Prakash Patil,48,1,4,2,M
351,351,Vidya Naik,42,4,2,2,F
352,352,Lokesh Shetty,54,4,1,1,M
353,353,Bhavya Gowda,34,7,3,2,F
354,354,Shivakumar Prasad,64,6,3,2,M
355,355,Shivakumar Patil,27,3,4,3,M
356,356,Savitha Kumar,37,7,1,4,F
357,357,Divya Naik,60,6,1,2,F
358,358,Santosh Hegde,21,8,4,3,M
359,359,Divya Hegde,63,4,4,3,F
360,360,Manjunath Kumar,21,2,1,1,M
361,361,Naveen Achar,62,4,2,4,M
362,362,Firoz Naik,61,6,3,1,M
363,363,Imran Rao,68,7,3,1,M
364,364,Kiran Patil,38,8,2,4,M
365,365,Bhavya Murthy,53,3,3,2,F
366,366,Divya Setty,33,8,2,3,F
367,367,Geetha Setty,19,8,2,4,F
368,368,Kavya Prasad,64,6,4,2,F
369,369,Nagaraj Raju,44,1,4,4,M
370,370,Mahesh Raju,26,7,1,3,M
371,371,Mahesh Murthy,30,6,3,4,M
372,372,Ravi Murthy,50,3,3,2,M
373,373,Girish Prasad,45,1,3,1,M
374,374,Manjunath Raju,64,7,1,1,M
375,375,Shwetha Patil,53,1,3,3,F
376,376,Roopa Hegde,41,3,3,3,F
377,377,Vinay Achar,34,8,1,3,M
378,378,Arun Kumar,19,2,1,3,M
379,379,Sushma Naik,19,8,3,1,F
380,380,Shwetha Reddy,35,5,1,4,F
381,381,Umesh Gowda,28,8,4,3,M
382,382,Roopa Prasad,48,2,1,2,F
383,383,Harish Naik,24,3,2,2,M
384,384,Imran Kumar,48,4,3,4,M
385,385,Divya Naik,39,5,3,3,F
386,386,Arun Achar,25,3,4,3,M
387,387,Imran Pasha,35,2,4,4,M
388,388,Harish Setty,57,4,2,1,M
389,389,Shivakumar Nayak,24,3,4,4,M
390,390,Bhavya Bhat,43,4,4,4,F
391,391,Suresh Raju,55,6,1,2,M
392,392,Savitha Patil,53,1,2,1,F
393,393,Kiran Patil,21,6,3,4,M
394,394,Vidya Pasha,51,3,1,2,F
395,395,Girish Pasha,19,7,4,4,M
396,396,Suresh Gowda,24,4,3,1,M
397,397,Girish Raju,23,4,1,1,M
398,398,Deepa Pasha,57,5,3,3,F
399,399,Prakash Setty,33,7,4,4,M
400,400,Naveen Achar,57,7,1,1,M
401,401,Naveen Raju,57,8,1,3,M
402,402,Kavya Achar,69,4,2,4,F
403,403,Savitha Raju,59,4,3,1,F
404,404,Prasad Pasha,20,5,2,2,M
405,405,Sushma Bhat,67,8,1,3,F
406,406,Nagaratna Reddy,33,2,3,4,F
407,407,Kavya Hegde,28,7,2,4,F
408,408,Shwetha Naik,60,6,1,3,F
409,409,Roopa Pasha,31,2,2,4,F
410,410,Nagaraj Achar,55,2,1,3,M
411,411,Deepa Rao,29,2,3,1,F
412,412,Suresh Rao,60,2,1,1,M
413,413,Sushma Patil,54,1,4,2,F
414,414,Vinay Reddy,26,2,4,2,M
415,415,Arun Patil,31,8,4,3,M
416,416,Sushma Murthy,37,5,4,4,F
417,417,Vinay Bhat,22,5,2,2,M
418,418,Sushma Patil,66,7,1,1,F
419,419,Umesh Shetty,23,2,3,2,M
420,420,Naveen Kumar,60,4,1,2,M
421,421,Prakash Naik,52,3,2,1,M
422,422,Anil Nayak,30,2,1,2,M
423,423,Harish Rao,34,3,1,4,M
424,424,Ravi Naik,67,6,2,1,M
425,425,Prasad Reddy,27,6,4,4,M
426,426,Ramesh Bhat,38,3,4,1,M
427,427,Imran Kumar,34,8,4,2,M
428,428,Shwetha Hegde,31,2,4,1,F
429,429,Girish Achar,41,3,4,1,M
430,430,Vidya Reddy,64,4,2,1,F
431,431,Lokesh Shetty,70,6,4,1,M
432,432,Prakash Bhat,51,4,2,4,M
433,433,Anitha Pasha,58,7,4,4,F
434,434,Suresh Prasad,34,3,4,1,M
435,435,Basavaraj Reddy,48,4,2,3,M
436,436,Deepa Nayak,67,2,3,2,F
437,437,Nagaratna Gowda,54,8,2,4,F
438,438,Mahesh Gowda,27,3,4,3,M
439,439,Roopa Bhat,52,5,1,1,F
440,440,Manjunath Bhat,57,2,3,1,M
441,441,Divya Gowda,60,2,4,4,F
442,442,Naveen Shetty,47,2,2,1,M
443,443,Anitha Hegde,21,2,4,4,F
444,444,Prakash Kumar,70,6,4,1,M
445,445,Kavya Kumar,52,3,2,3,F
446,446,Savitha Rao,68,1,3,1,F
447,447,Anitha Kumar,46,1,4,3,F
448,448,Ravi Setty,41,7,4,3,M
449,449,Deepa Murthy,68,2,3,4,F
450,450,Kavya Pasha,41,5,4,3,F
451,451,Deepa Setty,68,4,4,3,F
452,452,Lakshmi Setty,67,3,4,4,F
453,453,Vidya Nayak,68,5,3,2,F
454,454,Kiran Bhat,18,6,2,2,M
455,455,Savitha Pasha,42,4,4,4,F
456,456,Manjunath Patil,21,7,3,4,M
457,457,Divya Rao,27,2,4,4,F
458,458,Firoz Naik,24,5,2,2,M
459,459,Girish Hegde,19,8,1,2,M
460,460,Suresh Murthy,26,3,1,1,M
461,461,Kavya Naik,37,6,1,4,F
462,462,Manjunath Murthy,54,8,1,1,M
463,463,Kavya Nayak,26,4,2,2,F
464,464,Nagaratna Rao,26,1,2,3,F
465,465,Manjunath Rao,31,1,2,4,M
466,466,Deepa Gowda,38,4,3,1,F
467,467,Geetha Reddy,47,1,1,1,F
468,468,Geetha Murthy,63,1,4,4,F
469,469,Roopa Hegde,46,8,1,2,F
470,470,Rekha Achar,44,1,1,1,F
471,471,Imran Pasha,69,7,4,2,M
472,472,Roopa Shetty,29,8,1,1,F
473,473,Firoz Gowda,46,2,4,3,M
474,474,Shwetha Naik,56,3,4,3,F
475,475,Savitha Pasha,53,5,2,3,F
476,476,Ramesh Patil,42,7,3,2,M
477,477,Prakash Patil,37,6,2,2,M
478,478,Arun Bhat,45,5,1,4,M
479,479,Umesh Kumar,68,7,4,3,M
480,480,Geetha Naik,62,8,1,4,F
481,481,Anil Hegde,21,7,4,4,M
482,482,Anil Raju,68,3,2,4,M
483,483,Roopa Naik,43,7,1,1,F
484,484,Sushma Rao,68,7,3,2,F
485,485,Santosh Rao,41,2,2,3,M
486,486,Kavya Bhat,66,3,4,2,F
487,487,Rekha Patil,64,6,2,3,F
488,488,Manjunath Pasha,70,4,4,1,M
489,489,Suresh Naik,34,7,3,2,M
490,490,Prakash Gowda,27,3,2,2,M
491,491,Roopa Reddy,59,8,3,4,F
492,492,Nagaratna Hegde,45,2,1,1,F
493,493,Vidya Prasad,68,2,4,4,F
494,494,Shwetha Setty,23,3,1,4,F
495,495,Naveen Rao,45,8,3,1,M
496,496,Savitha Murthy,35,3,3,4,F
497,497,Lakshmi Setty,18,1,1,1,F
498,498,Firoz Gowda,69,1,4,3,M
499,499,Harish Naik,48,4,1,1,M
500,500,Suresh Prasad,43,8,2,2,M
501,501,Geetha Setty,57,7,2,2,F
502,502,Lakshmi Kumar,63,3,1,4,F
503,503,Nagaraj Shetty,46,8,2,2,M
504,504,Prasad Bhat,31,2,1,3,M
505,505,Geetha Raju,54,8,4,3,F
506,506,Ravi Naik,31,8,2,4,M
507,507,Ramesh Patil,59,1,4,3,M
508,508,Nagaratna Kumar,20,1,2,4,F
509,509,Roopa Shetty,64,7,1,1,F
510,510,Divya Bhat,29,1,1,2,F
511,511,Lokesh Murthy,22,1,2,1,M
512,512,Divya Patil,30,8,4,4,F
513,513,Geetha Raju,33,7,2,2,F
514,514,Sushma Prasad,37,7,2,3,F
515,515,Geetha Reddy,35,8,1,4,F
516,516,Nagaratna Gowda,60,6,3,3,F
517,517,Umesh Bhat,52,2,3,2,M
518,518,Prakash Bhat,68,6,3,2,M
519,519,Girish Hegde,45,8,1,1,M
520,520,Ravi Setty,70,6,1,1,M
521,521,Ramesh Rao,30,7,2,1,M
522,522,Kiran Patil,68,7,4,1,M
523,523,Ramesh Patil,27,3,1,4,M
524,524,Bhavya Kumar,27,3,3,4,F
525,525,Imran Achar,53,3,1,1,M
526,526,Geetha Naik,23,6,3,4,F
527,527,Arun Patil,27,7,4,4,M
528,528,Santosh Murthy,58,1,3,2,M
529,529,Sushma Raju,52,5,4,4,F
530,530,Mahesh Murthy,54,1,3,4,M
531,531,Bhavya Hegde,65,2,3,1,F
532,532,Bhavya Murthy,26,5,1,2,F
533,533,Santosh Hegde,33,7,3,4,M
534,534,Lokesh Murthy,53,2,3,3,M
535,535,Prasad Raju,60,1,1,3,M
536,536,Basavaraj Raju,70,6,2,4,M
537,537,Ramesh Gowda,60,8,4,2,M
538,538,Naveen Rao,23,5,1,3,M
539,539,Naveen Rao,39,6,1,3,M
540,540,Umesh Reddy,62,2,4,1,M
541,541,Anil Achar,25,5,4,2,M
542,542,Anitha Nayak,22,8,3,2,F
543,543,Manjunath Achar,55,7,2,1,M
544,544,Vinay Reddy,30,1,3,2,M
545,545,Nagaratna Bhat,53,5,2,1,F
546,546,Naveen Gowda,29,5,1,1,M
547,547,Basavaraj Gowda,32,3,1,1,M
548,548,Harish Prasad,21,3,4,4,M
549,549,Arun Patil,27,3,1,2,M
550,550,Shivakumar Nayak,67,7,1,4,M
551,551,Savitha Achar,54,8,2,3,F
552,552,Vidya Nayak,49,5,4,3,F
553,553,Ravi Kumar,34,7,1,3,M
554,554,Roopa Pasha,60,5,1,3,F
555,555,Imran Shetty,50,8,2,4,M
556,556,Geetha Achar,27,6,4,4,F
557,557,Divya Kumar,56,2,2,2,F
558,558,Vidya Patil,28,6,3,3,F
559,559,Ramesh Rao,66,5,4,3,M
560,560,Prasad Kumar,45,2,3,2,M
561,561,Arun Bhat,40,5,4,4,M
562,562,Nagaraj Patil,21,1,2,3,M
563,563,Naveen Rao,51,2,4,4,M
564,564,Savitha Murthy,51,1,2,3,F
565,565,Imran Achar,70,1,4,1,M
566,566,Kiran Bhat,36,4,4,2,M
567,567,Kavya Achar,60,7,4,2,F
568,568,Vidya Naik,33,7,3,3,F
569,569,Nagaraj Prasad,18,4,4,2,M
570,570,Shwetha Hegde,57,6,3,1,F
571,571,Harish Pasha,50,8,3,2,M
572,572,Manjunath Reddy,59,6,4,4,M
573,573,Savitha Raju,19,5,4,2,F
574,574,Anitha Reddy,24,8,1,2,F
575,575,Lakshmi Nayak,69,4,4,1,F
576,576,Harish Naik,49,8,1,4,M
577,577,Shwetha Pasha,37,3,4,1,F
578,578,Lokesh Shetty,26,6,1,2,M
579,579,Manjunath Prasad,49,5,1,1,M
580,580,Deepa Gowda,61,6,3,1,F
581,581,Arun Nayak,26,8,1,4,M
582,582,Girish Achar,38,3,3,2,M
583,583,Girish Gowda,21,3,1,2,M
584,584,Rekha Naik,47,3,1,2,F
585,585,Bhavya Kumar,23,4,2,4,F
586,586,Nagaratna Gowda,32,2,1,3,F
587,587,Deepa Prasad,46,7,3,4,F
588,588,Divya Hegde,27,4,3,1,F
589,589,Vinay Gowda,51,7,2,3,M
590,590,Arun Hegde,70,2,2,2,M
591,591,Ravi Murthy,23,5,4,1,M
592,592,Geetha Murthy,18,8,3,2,F
593,593,Girish Pasha,26,8,1,2,M
594,594,Harish Setty,68,8,3,4,M
595,595,Shwetha Kumar,20,5,2,1,F
596,596,Shwetha Raju,48,5,4,2,F
597,597,Savitha Patil,49,6,4,1,F
598,598,Geetha Setty,31,7,3,4,F
599,599,Vidya Bhat,27,1,4,4,F
600,600,Roopa Patil,51,3,1,3,F
601,601,Nagaraj Achar,65,6,3,2,M
602,602,Nagaratna Shetty,41,8,1,4,F
603,603,Firoz Raju,24,5,4,1,M
604,604,Lokesh Patil,34,2,4,2,M
605,605,Savitha Shetty,29,7,2,3,F
606,606,Nagaratna Pasha,37,6,4,1,F
